step	loss	lr	tok_per_s	rss_mb	per_task
186	8.392564	1.1337e-05	299.5	14065	listen=6.1051(2) speak=9.1551(6) 
187	8.579510	1.1153e-05	381.7	14065	listen=6.0167(1) speak=8.9456(7) 
188	6.997325	1.0983e-05	339.7	14065	listen=6.3821(5) speak=8.9686(2) text=6.1309(1) 
189	7.421998	1.0827e-05	475.8	14065	listen=6.5432(4) speak=8.9691(3) text=6.2959(1) 
190	7.567568	1.0684e-05	351.5	14065	listen=6.0409(4) speak=9.0942(4) 
191	7.560979	1.0554e-05	426.3	14065	listen=5.9685(2) speak=9.0619(5) text=3.2416(1) 
192	7.052303	1.0438e-05	372.5	14065	listen=6.2097(4) speak=9.1357(3) text=4.1725(1) 
193	7.254878	1.0335e-05	297.3	14065	listen=6.3103(3) speak=9.1164(3) text=5.8794(2) 
194	7.959691	1.0247e-05	310.9	14065	listen=6.2751(3) speak=8.9705(5) 
195	7.878858	1.0171e-05	288.7	14065	listen=6.7436(4) speak=9.0141(4) 
196	7.700732	1.0110e-05	312.6	14065	listen=5.8287(2) speak=9.0170(5) text=4.8636(1) 
197	8.166081	1.0062e-05	373.7	14065	listen=6.8961(2) speak=9.0743(5) text=6.1647(1) 
198	7.699566	1.0027e-05	403.0	14065	listen=6.3546(3) speak=9.1900(4) text=5.7725(1) 
199	8.032551	1.0007e-05	323.4	14065	listen=6.4531(3) speak=8.9802(5) 
200	5.998850	1.0000e-05	427.0	14065	listen=6.2086(5) text=5.6492(3) 
